areaType,areaName,areaCode,date,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateChange,newCasesBySpecimenDateChangePercentage
region,London,E12000007,2023-02-27,2822,31.300000000000000711,-407,-12.599999999999999645
region,London,E12000007,2023-02-26,2864,31.800000000000000711,-348,-10.800000000000000711
region,London,E12000007,2023-02-25,2976,33.100000000000001421,-85,-2.7999999999999998224
region,London,E12000007,2023-02-24,3077,34.200000000000002842,93,3.1000000000000000888
region,London,E12000007,2023-02-23,3185,35.399999999999998579,316,11
region,London,E12000007,2023-02-22,3262,36.200000000000002842,489,17.600000000000001421
region,London,E12000007,2023-02-21,3233,35.899999999999998579,530,19.600000000000001421
region,London,E12000007,2023-02-20,3229,35.899999999999998579,702,27.800000000000000711
region,London,E12000007,2023-02-19,3212,35.700000000000002842,817,34.100000000000001421
region,London,E12000007,2023-02-18,3061,34,618,25.300000000000000711
region,London,E12000007,2023-02-17,2984,33.100000000000001421,614,25.899999999999998579
region,London,E12000007,2023-02-16,2869,31.899999999999998579,500,21.100000000000001421
region,London,E12000007,2023-02-15,2773,30.800000000000000711,404,17.100000000000001421
region,London,E12000007,2023-02-14,2703,30,328,13.800000000000000711
region,London,E12000007,2023-02-13,2527,28.100000000000001421,156,6.5999999999999996447
region,London,E12000007,2023-02-12,2395,26.600000000000001421,81,3.5
region,London,E12000007,2023-02-11,2443,27.100000000000001421,237,10.699999999999999289
region,London,E12000007,2023-02-10,2370,26.300000000000000711,200,9.1999999999999992895
region,London,E12000007,2023-02-09,2369,26.300000000000000711,288,13.800000000000000711
region,London,E12000007,2023-02-08,2369,26.300000000000000711,364,18.199999999999999289
region,London,E12000007,2023-02-07,2375,26.399999999999998579,499,26.600000000000001421
region,London,E12000007,2023-02-06,2371,26.300000000000000711,549,30.100000000000001421
region,London,E12000007,2023-02-05,2314,25.699999999999999289,564,32.200000000000002842
region,London,E12000007,2023-02-04,2206,24.5,531,31.699999999999999289
region,London,E12000007,2023-02-03,2170,24.100000000000001421,576,36.100000000000001421
region,London,E12000007,2023-02-02,2081,23.100000000000001421,570,37.700000000000002842
region,London,E12000007,2023-02-01,2005,22.300000000000000711,569,39.600000000000001421
region,London,E12000007,2023-01-31,1876,20.800000000000000711,503,36.600000000000001421
region,London,E12000007,2023-01-30,1822,20.199999999999999289,540,42.100000000000001421
region,London,E12000007,2023-01-29,1750,19.399999999999998579,516,41.799999999999997158
region,London,E12000007,2023-01-28,1675,18.600000000000001421,414,32.799999999999997158
region,London,E12000007,2023-01-27,1594,17.699999999999999289,311,24.199999999999999289
region,London,E12000007,2023-01-26,1511,16.800000000000000711,199,15.199999999999999289
region,London,E12000007,2023-01-25,1436,16,75,5.5
region,London,E12000007,2023-01-24,1373,15.300000000000000711,-73,-5
region,London,E12000007,2023-01-23,1282,14.199999999999999289,-248,-16.199999999999999289
region,London,E12000007,2023-01-22,1234,13.699999999999999289,-382,-23.600000000000001421
region,London,E12000007,2023-01-21,1261,14,-459,-26.699999999999999289
region,London,E12000007,2023-01-20,1283,14.300000000000000711,-547,-29.899999999999998579
region,London,E12000007,2023-01-19,1312,14.599999999999999645,-675,-34
region,London,E12000007,2023-01-18,1361,15.099999999999999645,-803,-37.100000000000001421
region,London,E12000007,2023-01-17,1446,16.100000000000001421,-932,-39.200000000000002842
region,London,E12000007,2023-01-16,1530,17,-1118,-42.200000000000002842
region,London,E12000007,2023-01-15,1616,18,-1141,-41.399999999999998579
region,London,E12000007,2023-01-14,1720,19.100000000000001421,-1059,-38.100000000000001421
region,London,E12000007,2023-01-13,1830,20.300000000000000711,-1040,-36.200000000000002842
